region_key,region
maseru,Maseru
morija,Morija
roma,Roma
bereahospital,Berea Hospital
berea-maluti,Berea - Maluti 
mohaleshoek,Mohale's Hoek
quthing,Quthing
leribe,Leribe
mamohau,Mamohau
mokhotlong,Mokhotlong
bbseboche,Butha Buthe Seboche
bbhospital,Butha Buthe - Hospital
qacha,Qacha
ttparay,Thaba-Tseka Paray
ttjames,Thaba Tseka St. James - Mantsonyane
mafeteng,Mafeteng
